optimizer,score,lr,C,p,val_acc,sparsity,train_steps
Lasso_global,first order + second order,0.0005,0.1,,0.183,0.018881242008750774,16
Lasso_global,first order + second order,0.0005,0.2,,0.107,0.03064476033703905,16
Lasso_global,first order + second order,0.0005,0.5,,0.143,0.07301616517752749,16
Lasso_global,first order + second order,0.0005,1.0,,0.121,0.1288177852290218,16
Lasso_global,first order + second order,0.0005,2.0,,0.145,0.2160807671967996,16
Lasso_global,first order + second order,0.0005,5.0,,0.149,0.4142728128367617,16
Lasso_layer,first order,0.001,0.01,,0.314,0.11545148464773666,16
Lasso_layer,first order,0.001,0.05,,0.319,0.2977461489130979,16
Lasso_layer,first order,0.001,0.1,,0.316,0.42637726040387286,16
Lasso_layer,first order,0.001,0.2,,0.201,0.6026593402473803,16
Lasso_layer,first order,0.001,0.5,,0.205,0.9530711440503623,16
Lasso_layer,first order,0.001,1.0,,0.085,0.992502475923697,16
Lasso_layer,first order,0.001,2.0,,0.126,0.9948192276101367,16
Lasso_layer,first order,0.001,5.0,,0.085,0.9989661501360798,16
Lasso_layer,first order,0.0005,0.01,,0.177,0.06279489457312555,16
Lasso_layer,first order,0.0005,0.05,,0.203,0.20421707497769903,16
Lasso_layer,first order,0.0005,0.1,,0.125,0.2975580924064196,16
Lasso_layer,first order,0.0005,0.2,,0.09,0.42604278408439683,16
Lasso_layer,first order,0.0005,0.5,,0.164,0.6736107248748672,16
Lasso_layer,first order,0.0005,1.0,,0.207,0.952921651418828,16
Lasso_layer,first order,0.0005,2.0,,0.126,0.9925081606383597,16
Lasso_layer,first order,0.0005,5.0,,0.094,0.9957230972414999,16
Lasso_layer,second order,0.001,0.01,,0.296,0.005520626142128314,16
Lasso_layer,second order,0.001,0.05,,0.168,0.026540549991534386,16
Lasso_layer,second order,0.001,0.1,,0.169,0.04585705677432082,16
Lasso_layer,second order,0.001,0.2,,0.257,0.08200415998200557,16
Lasso_layer,second order,0.001,0.5,,0.229,0.1491962581671681,16
Lasso_layer,second order,0.001,1.0,,0.099,0.25026218825869817,16
Lasso_layer,second order,0.001,2.0,,0.126,0.4178996607915397,16
Lasso_layer,second order,0.001,5.0,,0.085,0.9999705009401288,16
Lasso_layer,second order,0.0005,0.01,,0.107,0.0029279353331442526,16
Lasso_layer,second order,0.0005,0.05,,0.131,0.012972057937382713,16
Lasso_layer,second order,0.0005,0.1,,0.16,0.02535859026451131,16
Lasso_layer,second order,0.0005,0.2,,0.175,0.05032155511668875,16
Lasso_layer,second order,0.0005,0.5,,0.171,0.0842013790195926,16
Lasso_layer,second order,0.0005,1.0,,0.12,0.15185562914273582,16
Lasso_layer,second order,0.0005,2.0,,0.075,0.25123335262039226,16
Lasso_layer,second order,0.0005,5.0,,0.099,0.8196905302794022,16
Lasso_layer,first order + second order,0.001,0.01,,0.239,0.004589715705883311,16
Lasso_layer,first order + second order,0.001,0.05,,0.293,0.019596286928751473,16
Lasso_layer,first order + second order,0.001,0.1,,0.251,0.03447641166060963,16
Lasso_layer,first order + second order,0.001,0.2,,0.273,0.05607417907342838,16
Lasso_layer,first order + second order,0.001,0.5,,0.233,0.12917546132995897,16
